Bibliotek|Alternativt biblioteksnamn|Sigel|Bibliotekstyp|Gatuadress|Postnummer|Ort|Besöksadress|Latitud|Longitud|Län|Kommunkod|Telefonnummer|E-post|Webbadress|Geocode
Överlida bibliotek||8bvj|folkbib|Studievägen 2|512 80|Svenljunga||57.3509918|12.8902292||1465||||Studievägen 2, 512 80, Svenljunga, Sweden
Kalvs bibliotek||8bvk|folkbib|Björkhagsvägen 2|512 80|Svenljunga||57.2447781|13.0571124||1465||||Björkhagsvägen 2, 512 80, Svenljunga, Sweden
Östra Frölunda bibliotek||8bvl|folkbib|Kantorsvägen 4|512 80|Svenljunga||57.3406845|13.0295299||1465||||Kantorsvägen 4, 512 80, Svenljunga, Sweden
Fristad folkhögskola biblioteket||8bvm|folkhogbib|Folkhögskolevägen 7|513 32|Fristad||57.8279183|13.0025367||1490||inka.horstmann@vgregion.se||Folkhögskolevägen 7, 513 32, Fristad, Sweden
Fristads bibliotek||8bvn|folkbib|Gamla Kyrkvägen 6|513 33|Fristad||57.8254648|13.0122017||1490||||Gamla Kyrkvägen 6, 513 33, Fristad, Sweden
Skolbiblioteket på Fristadskolan 7 9||8bvo|skolbib|Skolvägen 6|513 34|Fristad||57.8199531|13.0104689||1490|033-358775|inger.arhusiander@boras.se||Skolvägen 6, 513 34, Fristad, Sweden
Viskafors bibliotek||8bvr|folkbib|Varbergsvägen 79|515 34|Viskafors||57.6362964|12.8588897||1490||||Varbergsvägen 79, 515 34, Viskafors, Sweden
Dalsjöfors bibliotek||8bvs|folkbib|Stationsvägen 2|516 31|Dalsjöfors||57.7223564|13.1088793||1490||||Stationsvägen 2, 516 31, Dalsjöfors, Sweden
Dalsjöskolans bibliotek||8bvt|skolbib|Dalsjövägen 16|516 34|Dalsjöfors||57.7180856|13.0999052|O|1490|033358706|susanne.mandren@boras.se||Dalsjövägen 16, 516 34, Dalsjöfors, Sweden
Bollebygdsskolans skolbibliotek||8bvu|skolbib|Krokdalsvägen 23 A|517 34|Bollebygd||57.6694594|12.5576453||1443|033-4305813|olle.orngard@bollebygd.se||Krokdalsvägen 23 A, 517 34, Bollebygd, Sweden
Töllsjö bibliotek||8bvw|folkbib|Horssaredssvägen|517 70|Töllsjö||57.7952155|12.6399822||1443||||Horssaredssvägen, 517 70, Töllsjö, Sweden
Olsfors bibliotek||8bvx|folkbib|Skolvägen 1|517 71|Bollebygd||57.6911954|12.6996451||1443||||Skolvägen 1, 517 71, Bollebygd, Sweden
Sandareds bibliotek||8bvy|folkbib|Skolvägen 9|518 30|Sanared||57.7107528|12.7901365||1490||||Skolvägen 9, 518 30, Sanared, Sweden
Kungsäter bibliotek||8bwa|folkbib|Kung Karls Skola|519 92|Kungsäter||57.3075992|12.5758928||1383||||Kung Karls Skola, 519 92, Kungsäter, Sweden
Gällstads bibliotek||8bwb|folkbib|Graningevägen 2|520 10|Gällsltad||57.6654465|13.4329904||1491||||Graningevägen 2, 520 10, Gällsltad, Sweden
Blidsbergs bibliotek||8bwc|folkbib|Skolhusvägen 9|520 24|Blidsberg||57.9343039|13.4981949||1491||||Skolhusvägen 9, 520 24, Blidsberg, Sweden
Dalums bibliotek||8bwd|folkbib|Dalagatan 16|520 25|Dalum||57.898081|13.4656731||1491||||Dalagatan 16, 520 25, Dalum, Sweden
Trädets bibliotek||8bwe|folkbib|Centralvägen 22|520 26|Trädet||57.986344|13.5376369||1491||||Centralvägen 22, 520 26, Trädet, Sweden
Åsarp bibliotek||8bwf|folkbib|Redvägsgatan 3|520 43|Åsarp||58.0232258|13.5669479||1499||||Redvägsgatan 3, 520 43, Åsarp, Sweden
Vartofta bibliotek||8bwg|folkbib|Elvagatan 1|521 05|Vartofta||58.0966081|13.6318059||1499||||Elvagatan 1, 521 05, Vartofta, Sweden
Skolbiblioteket på Hökensåsskolan||8bwh|skolbib|on Essensväg 40|521 35|Tidaholm||58.1767779|13.9748577||1498|0502-606842|caroline.konculic@tidaholm.se||on Essensväg 40, 521 35, Tidaholm, Sweden
Floby bibliotek||8bwj|folkbib|Storgatan 55|521 51|Floby||58.1369693|13.3368215||1499||||Storgatan 55, 521 51, Floby, Sweden
Stenstorp bibliotek||8bwk|folkbib|Järnvägsgatan 29|521 61|Stenstorp||58.2744847|13.7148629||1499||||Järnvägsgatan 29, 521 61, Stenstorp, Sweden
Kinnarp bibliotek||8bwl|folkbib|Tångavägen 7|521 73|Kinnarp||58.078549|13.5139972||1499||||Tångavägen 7, 521 73, Kinnarp, Sweden
Ållebergsgymnasiets bibliotek||8bwn|gymbib|Fredriksbergsvägen 36|521 81|Falköping||58.167864|13.566631||1499|0515-886203|kerstin.ferm@falkoping.se||Fredriksbergsvägen 36, 521 81, Falköping, Sweden
Broddetorps bibliotek||8bwo|folkbib|Falköpingsvägen 14|521 98|Broddetorp||58.3035838|13.6056552||1499||||Falköpingsvägen 14, 521 98, Broddetorp, Sweden
Skolbiblioteket på Forsenskolan||8bwp|skolbib|Forsgatan 7|522 32|Tidaholm||58.1849208|13.9666084||1498|0502606101|fikret.babovic@tidaholm.se||Forsgatan 7, 522 32, Tidaholm, Sweden
Ekdalens filialbibliotek||8bwr|folkbib|Övertorpsvägen 9|522 93|Tidaholm||58.1996464|13.8403844||1498||||Övertorpsvägen 9, 522 93, Tidaholm, Sweden
Timmeles bibliotek||8bws|folkbib|Lenavägen 1|523 02|Timmele||57.8583586|13.4288028||1491||||Lenavägen 1, 523 02, Timmele, Sweden
Skolbiblioteket på Stenbocksskolan||8bwu|skolbib|Stenbocksgatan 50|523 35|Ulricehamn||57.7894082|13.4167392||1491|0321-95372|ann-caroline.hakans@ulricehamn.se||Stenbocksgatan 50, 523 35, Ulricehamn, Sweden
Biblioteket Ulrikaskolan||8bwv|skolbib|Tre Rosors Väg 4|523 36|Ulricehamn||57.791701|13.4258148||1491|0321-595432|marianne.johansson@ulricehamn.se||Tre Rosors Väg 4, 523 36, Ulricehamn, Sweden
Hökerums bibliotek||8bww|folkbib|Boråsvägen 9|523 74|Hökerum||57.8367224|13.2802133||1491||||Boråsvägen 9, 523 74, Hökerum, Sweden
Älmestads bibliotek||8bwy|folkbib|Mönevägen 5|523 95|Älmestad||57.9016946|13.347235||1491||||Mönevägen 5, 523 95, Älmestad, Sweden
Grönahögs bibliotek||8bwz|folkbib|Bygdegården|523 96|grönahög||57.6653816|13.5801247||1491||||Bygdegården, 523 96, grönahög, Sweden
Ljungs bibliotek||8bxb|folkbib|Stationsvägen 7|524 41|Ljung||57.9872623|13.0584656||1466||||Stationsvägen 7, 524 41, Ljung, Sweden
Vinninga bibliotek||8bxc|folkbib|G:a Skaravägen|531 03|Vinninga||58.4524449|13.2691033||1494||||G:a Skaravägen, 531 03, Vinninga, Sweden
Skolbiblioteket på Fredriksdalskolan||8bxe|skolbib|Floragatan 5|531 36|Lidköping||58.4975884|13.1622445||1494|0510-77 06 30|bength.axen@lidkoping.se||Floragatan 5, 531 36, Lidköping, Sweden
Järpås bibliotek||8bxg|folkbib|Långgatan 19|531 75|Järpås||58.3773401|12.9712447||1494||||Långgatan 19, 531 75, Järpås, Sweden
Tuns bibliotek||8bxh|folkbib|Skaragatan 8|531 88|Lidköping||58.5021758|13.1636644||1494||||Skaragatan 8, 531 88, Lidköping, Sweden
Skolbiblioteket på Djäkneskolan||8bxk|skolbib|Södra Kyrkogatan 2|532 88|Skara||58.3860128|13.4393282||1495|0511-322 37|lise-lotte.stahl.buf@skara.se||Södra Kyrkogatan 2, 532 88, Skara, Sweden
Vedums bibliotek||8bxm|folkbib|Herrljungavägen 3|534 63|Vedum||58.1686016|13.0008007||1470||||Herrljungavägen 3, 534 63, Vedum, Sweden
Levene bibliotek||8bxo|folkbib|Storgatan 50|534 93|Levene||58.3281168|12.9086504||1470||||Storgatan 50, 534 93, Levene, Sweden
Timmersdala bibliotek||8bxq|folkbib|Skolgatan 1|540 16|Timmersdala||58.5261015|13.7614069||1496||||Skolgatan 1, 540 16, Timmersdala, Sweden
Helenaskolans bibliotek||8bxv|skolbib|Staketgatan 10|541 30|Skövde||58.3921978|13.8500596||1496|0500-497155|anna.liljegren@skovde.se||Staketgatan 10, 541 30, Skövde, Sweden
Skolbiblioteket på Skövde Praktiska Gymnasium||8bxx|frisgym|Kylarvägen 2|541 34|Skövde||58.3974293|13.8808593||1496|070-817 04 68|awaz.karim@vindora.se||Kylarvägen 2, 541 34, Skövde, Sweden
Skultorps bibliotek||8bxz|folkbib|Kommunalhusplatsen 3|541 57|Skövde||58.3433604|13.8280617||1496||||Kommunalhusplatsen 3, 541 57, Skövde, Sweden
Södra Ryds bibliotek||8bya|folkbib|Timmervägen 1|541 64|Skövde||58.4260424|13.8729821||1496||||Timmervägen 1, 541 64, Skövde, Sweden
Stöpens bibliotek||8byb|folkbib|Hästskovägen 4|541 70|Skövde||58.4750377|13.8655474||1496||||Hästskovägen 4, 541 70, Skövde, Sweden
Värsås bibliotek||8byc|folkbib|Tingshusbacken|541 78|Värsås||58.3511704|14.0548653||1496||||Tingshusbacken, 541 78, Värsås, Sweden
Guldkroksskolans skolbibliotek||8byh|skolbib|Linnégatan 1|544 81|Hjo||58.2998303|14.2809521||1497|0503-35152|helena.gericke@edu.hjo.se||Linnégatan 1, 544 81, Hjo, Sweden
Älgarås bibliotek||8byi|folkbib|Älgarås skola|545 02|Älgarås||58.8059355|14.2572204|O|1473||||Älgarås skola, 545 02, Älgarås, Sweden
Mölltorps bibliotek||8byl|folkbib|Kyrkvägen 1|546 72|Mölltorp||58.4961488|14.4121196||1446||||Kyrkvägen 1, 546 72, Mölltorp, Sweden
Undenäs bibliotek||8bym|folkbib|Svanhultsvägen 9|546 94|Undenäs||58.6551202|14.3993159||1446||||Svanhultsvägen 9, 546 94, Undenäs, Sweden
Skolbiblioteket på Gullstensskolan||8byo|skolbib|Skolgatan 14|547 31|Gullspång||58.9810188|14.1101514||1447|0551-36036|pia.lindholm@gullspang.se||Skolgatan 14, 547 31, Gullspång, Sweden
Lyrestads bibliotek||8byq|folkbib|Skolgatan 2|548 73|Lyrestad||58.8059494|14.0631915||1493||||Skolgatan 2, 548 73, Lyrestad, Sweden
Tidans bibliotek||8byr|folkbib|Skolvägen Tidanskolan|549 31|Tidan||58.5708061|14.0018013||1496||||Skolvägen Tidanskolan, 549 31, Tidan, Sweden
Moholms bibliotek||8bys|folkbib|Skolgatan 2 A|549 41|Moholm||58.6051872|14.0460677||1473||||Skolgatan 2 A, 549 41, Moholm, Sweden
Sjukhusbiblioteken i Jönköpings län||8byu|sjukbib|Länssjukhuset Ryhov|551 85|Jönköping||57.7826137|14.1617876||0600||mikael.wallin@lj.se||Länssjukhuset Ryhov, 551 85, Jönköping, Sweden
Skolbiblioteket på Plusgymnasiet i Jönköping||8byv|frisgym|Batterigatan 19|553 05|Jönköping||57.7705121|14.2052604||0680|036 8606500|melina.erliden@plusgymnasiet.se||Batterigatan 19, 553 05, Jönköping, Sweden
Talavidskolans bibliotek||8byw|skolbib|Lyckhemsgatan 1|553 13|Jönköping||57.7861256|14.1524168||0680||asa.stenholm@jonkoping.se||Lyckhemsgatan 1, 553 13, Jönköping, Sweden
Junedalsskolans skolbibliotek||8byz|skolbib|Gjuterigatan 27|553 18|Jönköping||57.7809115|14.1518603||0680|036 105039|kristina.ekholm@jonkoping.se||Gjuterigatan 27, 553 18, Jönköping, Sweden
Jensen gymnasiums skolbibliotek Jönköping||8bzb|frisgym|Östra storgatan 7|553 21|Jönköping||57.7828339|14.1713979||0680|0362902250|jenny.jonasson@jenseneducation.se||Östra storgatan 7, 553 21, Jönköping, Sweden
Hoks bibliotek||8bzh|folkbib|Skolgatan 1|560 13|Hok||57.5106001|14.276447||0665||||Skolgatan 1, 560 13, Hok, Sweden
Bottnaryds bibliotek||8bzi|folkbib|Fridhemsplan 1|560 25|Bottnaryd||57.7671203|13.8252832||0680||||Fridhemsplan 1, 560 25, Bottnaryd, Sweden
Ödestugu bibliotek||8bzk|folkbib|Ödestuguskolan|560 31|Ödestugu||57.6153181|14.2904875||0680||||Ödestuguskolan, 560 31, Ödestugu, Sweden
Visingsö bibliotek||8bzl|folkbib|Norrbovägen 90|560 34|Visingsö||58.0535941|14.3468793||0680||||Norrbovägen 90, 560 34, Visingsö, Sweden
Skolbiblioteket på Internationella Engelska Skolan i Jönköping||8bzn|friskol|Birkagatan 41|561 33|huskvarna||57.7865492|14.2612926||0680|0736-25 72 01|jennifer.chidsey.jonkoping@engelska.se||Birkagatan 41, 561 33, huskvarna, Sweden
Skolbiblioteket på Ribbaskolan||8bzt|skolbib|Gärdesvägen 21|563 31|Gränna||58.0233112|14.4636553||0680|036 103527|ann.bergkvist@jonkoping.se||Gärdesvägen 21, 563 31, Gränna, Sweden
Fagerhults bibliotek||8bzy|folkbib|Voltvägen 3|566 92|Habo||57.9988462|14.1161055||0643||ingrid.larsson21@habokommun.se||Voltvägen 3, 566 92, Habo, Sweden
Skolbiblioteket på Hjortsjöskolan||8bzz|skolbib|Ödestuguvägen 13|567 30|Vaggeryd||57.5007477|14.1416025||0665||Susanne.Westroth@vaggeryd.se||Ödestuguvägen 13, 567 30, Vaggeryd, Sweden
Klevshults bibliotek||8cab|folkbib|Skolvägen, Klevshult|568 92|Skillingaryd||57.3539889|14.1020039||0665||||Skolvägen, Klevshult, 568 92, Skillingaryd, Sweden
Hagshults bibliotek||8cac|folkbib|Sockenstugan, Hagshult|568 93|Skillingaryd||57.4305818|14.0938696||0665||||Sockenstugan, Hagshult, 568 93, Skillingaryd, Sweden
Rörviks bibliotek||8cad|folkbib|Nygatan 2|570 02|Rörvik||57.2411689|14.5761648||0684||||Nygatan 2, 570 02, Rörvik, Sweden
Stockaryds bibliotek||8cae|folkbib|Skolgatan 1|570 02|Stockaryd||57.3157601|14.5942454||0684||||Skolgatan 1, 570 02, Stockaryd, Sweden
Vrigstads bibliotek||8caf|folkbib|Jönköpingsvägen 10|570 03|Vrigstad||57.3569486|14.4648849||0684||||Jönköpingsvägen 10, 570 03, Vrigstad, Sweden
Korsberga filial||8cag|folkbib|Skolgatan 3|570 10|Korsberga||57.3048988|15.1239735||0685||||Skolgatan 3, 570 10, Korsberga, Sweden
Landsbro filial||8cah|folkbib|Sävsjövägen 27|570 12|Landsbro||57.3723756|14.8929138||0685||||Sävsjövägen 27, 570 12, Landsbro, Sweden
Malmbäcks bibliotek||8cai|folkbib|Skolgatan 1|570 21|Malmbäck||57.5814357|14.4666471||0682||||Skolgatan 1, 570 21, Malmbäck, Sweden
Annebergs bibliotek||8caj|folkbib|Järnvägsgatan 10|570 23|Anneberg||57.7229548|14.8019401||0682||||Järnvägsgatan 10, 570 23, Anneberg, Sweden
Ingatorps bibliotek||8cak|folkbib|Valbacksvägen 7|570 31|Ingatorp||57.6397921|15.4157608||0686||||Valbacksvägen 7, 570 31, Ingatorp, Sweden
Virserums bibliotek||8cam|folkbib|Skolgatan 5|570 80|Virserum||57.31527|15.5833511||0860||||Skolgatan 5, 570 80, Virserum, Sweden
Påskallaviks bibliotek||8can|folkbib|Kustvägen 5|570 90|Påskallavik||57.15942|16.462497||0882||birgitta.wall@oskarshamn.se||Kustvägen 5, 570 90, Påskallavik, Sweden
Kristdala bibliotek||8cao|folkbib|Vallgatan 2|570 91|Kristdala||57.4007117|16.1968587||0882||jenny.englund@oskarshamn.se||Vallgatan 2, 570 91, Kristdala, Sweden
Bodafors bibliotek||8car|folkbib|Torget 7|571 62|Bodafors||57.5059859|14.7039757||0682||||Torget 7, 571 62, Bodafors, Sweden
Forserums bibliotek||8cas|folkbib|Jönköpingsvägen 1 A|571 78|Forserum||57.6994779|14.474586||0682||||Jönköpingsvägen 1 A, 571 78, Forserum, Sweden
Oskarshamns museer biblioteket||8cav|muskom|Hantverksgatan 18-20|572 28|Oskarshamn||57.2631139|16.446502||0882||jenny.englund@oskarshamn.se||Hantverksgatan 18-20, 572 28, Oskarshamn, Sweden
Döderhults bibliotek på Rödsleskolan||8cax|folkbib|Rödslevägen 11|572 50|Oskarshamn||57.2721342|16.4040003||0882|0491-88035|anna.nilsson@oskarshamn.se||Rödslevägen 11, 572 50, Oskarshamn, Sweden
Kristinebergs bibliotek||8cay|folkbib|Arkitektvägen 24|572 61|Oskarshamn||57.251891|16.465803||0882||biblioteket.kristineberg@oskarshamn.se||Arkitektvägen 24, 572 61, Oskarshamn, Sweden
Figeholms bibliotek||8caz|folkbib|Marknadsgatan 7|572 75|Figeholm||57.3714194|16.5481498||0882||johanna.hansson@oskarshamn.se||Marknadsgatan 7, 572 75, Figeholm, Sweden
Hestra bibliotek||8cbc|folkbib|Olstorpsvägen|573 95|Ydre||57.950455|15.070259||0512||Kicki.Samuelsson@ydre.se||Olstorpsvägen, 573 95, Ydre, Sweden
Withalaskolans bibliotek||8cbd|skolbib|Nygatan 30|574 31|Vetlanda||57.4289981|15.086081||0685|0383-97537|mari.andresen@vetlanda.se||Nygatan 30, 574 31, Vetlanda, Sweden
Mogärdeskolans bibliotek||8cbe|skolbib|Kullgatan 5|574 31|Vetlanda||57.4292829|15.0809313||0685|0383-97508|martina.eriksson@vetlanda.se||Kullgatan 5, 574 31, Vetlanda, Sweden
Bäckseda skolas skolbibliotek||8cbh|skolbib|Ekvägen 6|574 41|Vetlanda||57.4034621|15.0848691||0685|0383-965 00|bernt.friberg@vetlanda.se||Ekvägen 6, 574 41, Vetlanda, Sweden
Barnens filial på Ekenässjöns skola||8cbi|skolbib|Brunnsgatan 5|574 50|Ekenässjön||57.496314|15.0207771|F|0685||||Brunnsgatan 5, 574 50, Ekenässjön, Sweden
Ramkvilla filial||8cbj|folkbib|Höredavägen|574 74|Ramkvilla||57.2063005|14.945936||0685||||Höredavägen, 574 74, Ramkvilla, Sweden
Barnens filial på Björköby skola||8cbk|skolbib|Björköbyvägen 46|574 95|Björköby||57.5145628|14.9061605|F|0685||||Björköbyvägen 46, 574 95, Björköby, Sweden
Barnens filial på Nye skola||8cbl|skolbib|Nye skola|574 98|Nye||57.3461242|15.2731678|F|0685||||Nye skola, 574 98, Nye, Sweden
Skolbiblioteket på Fröviskolan 7 9||8cbs|skolbib|Frövivägen 3b|579 32|Högsby||57.1718136|16.0200494||0821|049129272|gunilla.gustafsson@skolan.hogsby.se||Frövivägen 3b, 579 32, Högsby, Sweden
Fokusbiblioteket på Kungsbergsskolan||8cbu|skolbib|Drottningtorget 1A|582 52|Linköping||58.4114373|15.6382283||0580|013-207501|linnea.hermansson@linkoping.se||Drottningtorget 1A, 582 52, Linköping, Sweden
Fokusbiblioteket på Hjulsbroskolan||8cbv|skolbib|Bokhagsvägen 5|581 81|Linköping||58.3765782|15.7143314||0580|013-263435|liselott.drejstam@linkoping.se||Bokhagsvägen 5, 581 81, Linköping, Sweden
Skäggetorpskolans mediatek||8cbw|skolbib|Skäggetorp centrum 16|581 81|Linköping||58.4271711|15.5788807||0580|013-207901|jonas.gustavsson@linkoping.se||Skäggetorp centrum 16, 581 81, Linköping, Sweden
Linköpings universitetsbibliotek||8cbx|univbib|D-huset|581 83|Linköping||58.397014|15.5769785||0580||ulrika.sparre@liu.se||D-huset, 581 83, Linköping, Sweden
Linköpings universitetsbibliotek Hälsouniversitetet||8cby|univbib|Universitetssjukhuset|581 85|Linköping||58.410807|15.6213727||0580||||Universitetssjukhuset, 581 85, Linköping, Sweden
Fokusbiblioteket på T1-skolorna||8cca|skolbib|Kaptensgatan 10|582 12|Linköping||58.4047162|15.607144||0580|013-206941|karolina.schroder@linkoping.se||Kaptensgatan 10, 582 12, Linköping, Sweden
Linköpings universitetsbibliotek Bokladan||8ccb|univbib|Westmansgatan 37|582 16|Linköping||58.4047482|15.6042075||0580||||Westmansgatan 37, 582 16, Linköping, Sweden
Klaragymnasiums Skolbibliotek||8ccf|frisgym|St Larsgatan 3|582 24|Linköping||58.4164975|15.6228896||0580|0731542426|christophermh@klaragymnasium.se||St Larsgatan 3, 582 24, Linköping, Sweden
Internationella Engelska Skolan i Linköping's School Library||8cci|friskol|Östgötagatan 12|582 32|Linköping||58.4118501|15.6089181||0580|013-35 56 44|camilla.andersson.linkoping@engelska.se||Östgötagatan 12, 582 32, Linköping, Sweden
Skolbiblioteket på Tornhagsskolan||8cck|skolbib|Stenbrötsgatan 5|582 47|Linköping||58.413477|15.5915205||0580|013-207954|helena.sandell@linkoping.se||Stenbrötsgatan 5, 582 47, Linköping, Sweden
Fokusbiblioteket på Tallboda skolor||8ccl|skolbib|Stormvägen 10|582 74|Linköping||58.4297972|15.694936||0580|013-20 73 17|arvid.harju@linkoping.se||Stormvägen 10, 582 74, Linköping, Sweden
Elevservice på Fria Läroverken||8ccm|frisgym|Teknikringen 3|583 30|Linköping||58.3941381|15.5653449||0580|013-4708707|helena.lanver@laroverken.se||Teknikringen 3, 583 30, Linköping, Sweden
Fokusbiblioteket på Änggårdsskolan||8ccn|skolbib|Betesgatan 1|583 31|Linköping||58.379661|15.5712355||0580|013-205712|magnus.bromo@linkoping.se||Betesgatan 1, 583 31, Linköping, Sweden
Lambohovs bibliotek||8cco|folkbib|Tröskaregatan 23|583 34|Linköping||58.3884541|15.563148||0580||||Tröskaregatan 23, 583 34, Linköping, Sweden
Fokusbiblioteket på Skeda/Slaka skolor||8ccp|skolbib|Gamla Kalmarvägen 5|583 37|Linköping||58.3700219|15.5572599||0580|013208426|andreas.rocklov@linkoping.se||Gamla Kalmarvägen 5, 583 37, Linköping, Sweden
Ryds bibliotek||8ccq|folkbib|Björnkärrsgatan 17|584 36|Linköping||58.4103207|15.5655207||0580||||Björnkärrsgatan 17, 584 36, Linköping, Sweden
Linghems bibliotek||8ccs|folkbib|Himnavägen 145|585 65|Linghem||58.4282479|15.7819343||0580||||Himnavägen 145, 585 65, Linghem, Sweden
Skäggetorps bibliotek||8ccu|folkbib|Skäggetorps centrum|586 42|Linköping||58.4261397|15.5848724||0580||||Skäggetorps centrum, 586 42, Linköping, Sweden
Fokusbiblioteket på Rosendalsskolan||8ccv|skolbib|Skrivaregatan 19|586 49|Linköping||58.4316213|15.5754993||0580|013262661|katarina.hjarpe@linkoping.se||Skrivaregatan 19, 586 49, Linköping, Sweden
Malmslätts bibliotek||8ccw|folkbib|Kärnabrunnsgatan 12|586 62|Linköping||58.4200901|15.5090638||0580||||Kärnabrunnsgatan 12, 586 62, Linköping, Sweden
Johannelunds bibliotek||8ccy|folkbib|Skogslyckegatan 5A|587 26|Linköping||58.3958187|15.6630996||0580||||Skogslyckegatan 5A, 587 26, Linköping, Sweden
Fokusbiblioteket på Ånestadsskolan||8cda|skolbib|Häggvägen 18|587 31|Linköping||58.3903989|15.6545113||0580|013262658|lena.karlsson5@linkoping.se||Häggvägen 18, 587 31, Linköping, Sweden
Ekholmens bibliotek||8cdb|folkbib|Ekholmens centrum|589 25|Linköping||58.3800016|15.68133||0580||||Ekholmens centrum, 589 25, Linköping, Sweden
Skolbiblioteket på Kvinnebyskolan||8cdc|skolbib|Backsippevägen 14|589 35|Linköping||58.3813309|15.6945151||0580|013207823|moa.kindstrand@linkoping.se||Backsippevägen 14, 589 35, Linköping, Sweden
Skolbiblioteket på Stenbockskolan||8cdd|skolbib|Skolgatan 1|590 12|Boxholm||58.2015832|15.050374||0560|0142-89583|lena.blomqvist@boxholm.se||Skolgatan 1, 590 12, Boxholm, Sweden
Mantorps bibliotek||8cde|folkbib|Häradsvägen 9|590 18|Mantorp||58.3503689|15.2878596||0586||mantorpsbibliotek@mjolby.se||Häradsvägen 9, 590 18, Mantorp, Sweden
Skolbiblioteket på Vifolkaskolan 7 9||8cdf|skolbib|Skolvägen 3|590 18|Mantorp||58.351056|15.2821142||0586|0142-85606|ulldib@edu.mjolby.se||Skolvägen 3, 590 18, Mantorp, Sweden
Väderstads bibliotek||8cdg|folkbib|Folkungasalen|590 21|Väderstad||58.3131254|14.9236992||0586||vaderstadbibliotek@mjolby.se||Folkungasalen, 590 21, Väderstad, Sweden
Dansäterskolans bibliotek||8cdh|skolbib|Falkgatan 3|590 29|Borensberg||58.562027|15.2555521||0583|0141-225846|ida.ross@motala.se||Falkgatan 3, 590 29, Borensberg, Sweden
Borensberg bibliotek||8cdi|folkbib|Husbyvägen 13|590 31|Borensberg||58.5625933|15.2810363|E|0583||linda.kardell@motala.se||Husbyvägen 13, 590 31, Borensberg, Sweden
Skolbiblioteket på Hällaskolan||8cdj|skolbib|Fågelsjövägen 2|590 31|Borensberg||58.5675558|15.2860766||0583|0705-22 54 92|hjordis.farstrand@motala.se||Fågelsjövägen 2, 590 31, Borensberg, Sweden
Tjällmo bibliotek||8cdk|folkbib|Länsvägen 54|590 34|Tjällmo||58.7150252|15.3567116|E|0583||kerstin.lindhe@motala.se||Länsvägen 54, 590 34, Tjällmo, Sweden
Skolbiblioteket på Värgårdsskolan||8cdm|skolbib|Östgötagatan 8|590 38|Kisa||57.989327|15.6394099||0513|0494-102 58|anne-louise.gustafsson@kinda.se||Östgötagatan 8, 590 38, Kisa, Sweden
Horns Bibliotek||8cdn|folkbib|Stångågatan 2|590 42|Horn||57.8999191|15.8385785||0513||||Stångågatan 2, 590 42, Horn, Sweden
Rimforsa Bibliotek||8cdo|folkbib|Järnvägsgatan 8|590 43|Rimforsa||58.1353275|15.6865833||0513||||Järnvägsgatan 8, 590 43, Rimforsa, Sweden
Lunnevad folkhögskolas bibliotek||8cdp|folkhogbib|Lunnevad folkhögskola|590 48|Vikingstad||58.3020538|15.3971721||0580||annika.bodelius@lio.se||Lunnevad folkhögskola, 590 48, Vikingstad, Sweden
Fokusbiblioteket på Vikingstad skola||8cdq|skolbib|Mimergatan 13|590 49|Vikingtstad||58.3806205|15.4365636||0580||ellen.wahlqvist@linkoping.se||Mimergatan 13, 590 49, Vikingtstad, Sweden
Sturefors bibliotek||8cdr|folkbib|Näckrosvägen 4|590 54|Sturefors||58.3303153|15.7258391||0580||||Näckrosvägen 4, 590 54, Sturefors, Sweden
Ljungsbros bibliotek||8cds|folkbib|Centralplan 1|590 71|Ljungsbro||58.5088703|15.5031507||0580||||Centralplan 1, 590 71, Ljungsbro, Sweden
Fokusbiblioteket på Ljungsbroskolan||8cdt|skolbib|O G Svenssons väg 1|590 71|Ljungsbro||58.5068272|15.5066216||0580|013-206988|kerstin.sivebrand@linkoping.se||O G Svenssons väg 1, 590 71, Ljungsbro, Sweden
Fokusbiblioteket på Brunnbyskolan||8cdu|skolbib|Myrsättersgatan 26|590 73|Ljungsbro|Myrsättersgatan 26|58.4963904|15.5064016||0580|013 20 73 25|lovisa.bergman@linkoping.se||Myrsättersgatan 26, 590 73, Ljungsbro, Sweden
Skolbiblioteket på Vretagymnasiet||8cdv|frisgym|Järngården 3|590 76|Vreta Kloster||58.490195|15.485688||0580|013-15 02 62|monika.karlstrom@nbg.nu||Järngården 3, 590 76, Vreta Kloster, Sweden
Ankarsrums bibliotek||8cdw|folkbib|Skolvägen 5|590 90|Ankarsrum||57.7000293|16.3376317||0883||||Skolvägen 5, 590 90, Ankarsrum, Sweden
Överums bibliotek||8cdx|folkbib|Tjustvägen 1|590 96|Överum||57.988036|16.3109577||0883||biblioteket.overum@vastervik.se||Tjustvägen 1, 590 96, Överum, Sweden
Skolbiblioteket på Zederslundsskolan||8cdy|skolbib|Prinsgatan 3-7|591 26|Motala||58.5393306|15.0302707||0583|070-2640740|anna-karin.ekstrom@motala.se||Prinsgatan 3-7, 591 26, Motala, Sweden
Skolbiblioteket på Norra skolan||8cea|skolbib|Lasarettsgatan 17|591 35|Motala||58.5406232|15.031096||0583|076 76 76 503|solveig.hansen@motala.se||Lasarettsgatan 17, 591 35, Motala, Sweden
